Year,Month,AdjParty,AdjPresident,NPEmployment,UnempRate,War,Recession,GDP,GDPGrowth,Productivity,Inflation,ConsConf,NetDomInv,FedFundIntRate,M2,Expenditure
2009,9,Republican,G.Bush,130260,9.8,2,1,14384.1,1.2,6,215.969,68.4,1825.9,0.15,8405.1,3567.7
2009,12,Democrat,Obama,129774,9.9,2,1,14566.5,5.2,4.8,215.949,70.1,1786.4,0.12,8471,3664.7
2010,3,Democrat,Obama,129896,9.9,2,1,14681.1,3.2,2.1,217.631,73.9,1928,0.16,8471,3740.6
2010,6,Democrat,Obama,130528,9.4,2,1,14888.6,5.8,1.5,217.965,73.9,1989.5,0.18,8572.7,3785.7
2010,9,Democrat,Obama,130372,9.5,2,1,15057.7,4.6,2,218.439,68.3,2092.7,0.19,8662.6,3813.9
2010,12,Democrat,Obama,130840,9.3,2,1,15230.2,4.7,1.6,219.179,71.2,2164.6,0.18,8775.2,3809.6
2011,3,Democrat,Obama,131295,9,2,1,15238.4,0.2,-3.3,223.467,73.1,2156.5,0.14,8895.6,3861.7
2011,6,Democrat,Obama,131949,9.1,2,1,15460.9,6,1.3,225.722,71.9,2123.5,0.09,9092.7,3828.1
2011,9,Democrat,Obama,132372,9,2,1,15587.1,3.3,-0.8,226.889,59.5,2212.7,0.08,9518.6,3786.5
2011,12,Democrat,Obama,132927,8.5,2,1,15785.3,5.2,3.1,225.672,64.7,2228.2,0.07,9636.2,3774.6
2012,3,Democrat,Obama,133761,8.2,2,1,15973.9,4.9,0.6,229.392,75.5,2395.2,0.13,9798.1,3777.5
2012,6,Democrat,Obama,134038,8.2,2,1,16121.9,3.8,2.3,229.478,76.3,2460.8,0.16,9952.7,3771.7
2012,9,Democrat,Obama,134552,7.8,2,1,16227.9,2.7,-0.8,231.407,75,2534.8,0.14,10183.1,3814
2012,12,Democrat,Obama,135076,7.9,2,1,16297.3,1.7,-2,229.601,79.4,2529.9,0.16,10428.7,3788.9
2013,3,Democrat,Obama,135712,7.5,2,1,16475.4,4.4,1.3,232.773,76.7,2521.3,0.14,10518.2,3776
2013,6,Democrat,Obama,136268,7.5,2,1,16541.4,1.6,-0.7,233.504,81.7,2617.6,0.09,10646.7,3789.2
2013,9,Democrat,Obama,136862,7.3,2,1,16749.3,5.1,1.7,234.149,81.6,2658.1,0.08,10820.4,3790.8
2013,12,Democrat,Obama,137387,6.7,2,1,16999.9,6.1,4.1,233.049,76.9,2750.8,0.09,10994.7,3827.4
2014,3,Democrat,Obama,138014,6.7,2,1,17025.2,0.6,-3.7,236.293,80.9,2798.6,0.08,11163.1,3878
2014,6,Democrat,Obama,138843,6.1,2,1,17285.6,6.3,2,238.343,82.8,2774,0.1,11345.1,3926.4
2014,9,Democrat,Obama,139579,6,2,1,17569.4,6.7,4.2,238.031,83,2861.6,0.09,11485,3929.2
2014,12,Democrat,Obama,140402,5.6,2,1,17692.2,2.8,-1.6,234.812,89.8,2939.8,0.12,11646.9,3937.2
2015,3,Democrat,Obama,140972,5.5,2,1,17783.6,2.1,1.1,236.119,95.5,2970.4,0.11,11839.2,3993.6
2015,6,Democrat,Obama,141724,5.3,2,1,17998.3,4.9,1.2,238.638,94.2,3044.6,0.13,11975.2,4052.9
2015,9,Democrat,Obama,142300,5.1,2,1,18141.9,3.2,2,237.945,90.8,3049.9,0.14,12157.7,4062.7
2015,12,Democrat,Obama,143146,5,2,1,18222.8,1.8,-2.4,236.525,91.3,3072.1,0.24,12313.5,4093.5
2016,3,Democrat,Obama,143733,5,2,1,18281.6,1.3,-0.6,238.132,91.5,3059.9,0.36,12572.8,4128.3
2016,6,Democrat,Obama,144172,4.9,2,1,18450.1,3.7,-0.2,241.018,92.4,3036.8,0.38,12803.7,4170.7
2016,9,Democrat,Obama,144808,5,2,1,18657.9,4.6,3.1,241.428,90.3,2987.5,0.4,13061.1,4187.5
