ConsConf
86.2
90.8
87.1
81.7
80.3
81.5
82.6
82.9
83.8
89.5
97.1
99.2
99.9
99.7
98.6
98.1
99.4
100.4
98.9
95.2
91.2
87.3
86.2
90.7
81.3
80.8
80.7
82
82.9
93.3
87
95.9
99.1
94.4
99.7
89.6
98.2
99.9
100.2
93.2
92.9
97.3
83.7
78.5
80.9
95.4
90.8
96.3
95.3
99.7
93.8
100
93.3
97.2
90.1
91.6
92.5
99.2
93
99.9
95.4
91.6
95
98.4
91.7
96.4
94.4
99.5
98.5
100.6
99.9
102
105.4
103.4
102.9
100
95.7
91.2
88.3
94.1
95.9
97
92.9
97.2
92.4
92.4
91.7
98.2
91.5
86.4
79.7
78.1
75.4
77.6
72.4
78.1
80.2
82.1
82
92.8
88.6
95.2
90.7
81.9
77
72
76.5
61.8
72.1
64.4
59.5
57.6
72.8
75.7
75.6
84.6
83.3
89.7
87
87.1
90.2
89
84.4
82.6
81.8
80
73.8
71.9
66.7
63.7
62.3
63.9
54.4
67.8
72
68.3
73.9
74.8
65.7
66.6
66.2
66.7
72.5
75
91.5
91.2
91.6
99.5
96.6
98.9
95
94.5
94.3
92.8
91
95.5
96.8
94.9
92
90.5
91.8
93.9
86.4
92.3
93.5
96
93
95.9
90.9
92.5
91.8
91.3
90.9
79.1
65.2
74.8
80.8
82.6
71.9
70.7
78.9
76.1
83.3
87.3
82.5
77.4
84.1
93
92.2
90.7
93.1
94.3
91.7
93.1
89.8
90.5
91.5
94.9
97.5
99
103
105.8
105
107.8
106.9
103.5
100.2
105.9
106.2
105.9
105.2
110.1
108.8
107.5
103.9
92.3
91
88.5
85.1
93.1
94.1
87.3
83.8
80
89.3
89.3
92
98.1
93.4
95.6
93.9
94.1
90.2
87.4
82.4
88.9
83.8
84
92.5
92.2
86.9
85.8
77.5
72.9
59.6
64.8
57.7
58.3
68.2
68.4
70.1
73.9
73.9
68.3
71.2
73.1
71.9
59.5
64.7
75.5
76.3
75
79.4
76.7
81.7
81.6
76.9
80.9
82.8
83
89.8
95.5
94.2
90.8
91.3
91.5
92.4
90.3
